"a1","a2","a3","a4","a5","a6","a7","class"
1,3,0,3,3,3,11,1
1,0,0,0,0,0,2,1
1,4,1,2,3,3,9,1
1,1,0,1,1,1,9,1
1,0,0,0,0,0,3,1
1,3,1,1,2,2,3,1
1,19,4,15,19,19,30,1
1,10,3,2,5,5,8,1
1,2,0,2,2,2,2,1
1,11,3,3,6,6,8,1
1,5,3,1,4,4,7,1
1,19,4,15,19,19,33,1
1,11,3,3,6,6,10,1
1,0,0,0,0,0,1,1
1,4,0,4,4,4,13,1
1,0,0,0,0,0,4,1
1,4,2,1,3,3,4,1
1,2,1,0,1,1,5,1
1,0,0,0,0,0,12,1
1,2,0,2,2,2,3,1
1,3,0,3,3,3,10,1
1,3,0,3,3,3,12,1
1,4,0,4,4,4,5,1
1,4,0,4,4,4,12,1
1,19,4,15,19,19,31,1
1,20,4,16,20,20,31,1
1,2,0,2,2,2,5,1
1,1,0,1,1,1,2,1
1,15,4,11,15,15,23,1
1,6,1,5,6,6,7,1
1,2,1,0,1,1,4,1
1,1,0,1,1,1,5,1
1,3,1,1,2,2,4,1
1,2,0,2,2,2,4,1
1,5,3,1,4,4,5,1
1,1,0,1,1,1,3,1
1,16,3,13,16,16,27,1
1,18,4,14,18,18,28,1
1,4,0,4,4,4,11,1
1,0,0,0,0,0,13,1
1,2,0,2,2,2,12,1
1,1,0,1,1,1,4,1
1,0,0,0,0,0,5,1
1,4,2,1,3,3,5,1
1,10,3,2,5,5,10,1
1,1,1,0,1,1,3,1
1,1,1,0,1,1,5,1
1,2,1,1,2,2,12,1
1,1,0,1,1,1,10,1
1,2,0,2,2,2,10,1
1,1,0,1,1,1,11,1
1,3,0,3,3,3,13,1
1,1,0,1,1,1,12,1
1,2,1,1,2,2,11,1
1,5,2,2,4,4,11,1
1,5,1,3,4,4,10,1
1,5,2,2,4,4,10,1
1,8,2,4,6,6,14,1
1,5,1,3,4,4,14,1
1,4,1,2,3,3,10,1
1,3,0,3,3,3,4,0
1,3,0,3,3,3,2,0
1,4,1,2,3,3,4,0
1,1,0,1,1,1,1,0
1,4,3,0,3,3,3,0
1,3,1,1,2,2,3,0
1,7,4,2,6,6,7,0
1,6,3,2,5,5,7,0
1,2,0,2,2,2,2,0
1,6,3,2,5,5,7,0
1,5,3,1,4,4,4,0
1,7,4,2,6,6,7,0
1,6,2,3,5,5,5,0
1,2,0,2,2,2,1,0
1,4,2,2,4,4,4,0
1,2,1,0,1,1,4,0
1,4,2,1,3,3,4,0
1,2,1,0,1,1,5,0
1,0,0,0,0,0,6,0
1,2,0,2,2,2,3,0
1,3,0,3,3,3,4,0
1,3,0,3,3,3,4,0
1,4,2,2,4,4,5,0
1,4,2,2,4,4,4,0
1,7,4,2,6,6,7,0
1,7,4,2,6,6,7,0
1,2,0,2,2,2,5,0
1,1,0,1,1,1,2,0
1,14,3,10,13,13,15,0
1,6,1,4,5,5,6,0
1,2,1,0,1,1,4,0
1,1,0,1,1,1,5,0
1,3,1,1,2,2,4,0
1,2,0,2,2,2,4,0
1,5,3,1,4,4,4,0
1,1,0,1,1,1,3,0
1,14,3,10,13,13,15,0
1,7,4,2,6,6,7,0
1,4,2,2,4,4,4,0
1,14,3,10,13,13,15,0
1,2,0,2,2,2,7,0
1,1,1,0,1,1,4,0
1,2,1,0,1,1,5,0
1,4,2,1,3,3,4,0
1,6,3,2,5,5,7,0
1,1,1,0,1,1,2,0
1,1,1,0,1,1,2,0
1,2,1,1,2,2,2,0
1,1,0,1,1,1,1,0
1,2,0,2,2,2,7,0
1,1,0,1,1,1,1,0
1,3,0,3,3,3,4,0
1,1,0,1,1,1,1,0
1,2,1,1,2,2,2,0
1,5,2,2,4,4,3,0
1,5,1,3,4,4,5,0
1,5,2,2,4,4,3,0
1,6,2,4,6,6,8,0
1,5,1,3,4,4,5,0
1,4,1,2,3,3,4,0
