nnet,tarantula,ochiai,zoltar,kulczynski1,kulczynski2,wong,wong1,wong2,tandg
0.576119403,0.594029851,0.659701493,0.659701493,0.594029851,0.659701493,0.659701493,0.659701493,0.2,0.659701493
0,0.671641791,0.68358209,0.68358209,0.68358209,0.68358209,0.68358209,0.68358209,0.2,0.68358209
0.644776119,0.402985075,0.659701493,0.659701493,0.659701493,0.68358209,0.68358209,0.68358209,0.2,0.68358209
0.734328358,0.355223881,0.659701493,0.659701493,0.659701493,0.588059701,0.659701493,0.659701493,0.2,0.659701493
0.032835821,0.898507463,0.292537313,0.292537313,0.292537313,0.382089552,0.241791045,0.241791045,0.847761194,0.241791045
0.570605187,0.406340058,0.639769452,0.639769452,0.639769452,0.501440922,0.639769452,0.639769452,0.351585014,0.639769452
0.556195965,0.305475504,0.662824207,0.662824207,0.662824207,0.510086455,0.662824207,0.662824207,0.328530259,0.662824207
0.57925072,0.351585014,0.639769452,0.639769452,0.639769452,0.625360231,0.639769452,0.639769452,0.351585014,0.639769452
0.063400576,0.599423631,0.639769452,0.639769452,0.639769452,0.501440922,0.639769452,0.639769452,0.351585014,0.639769452
0.095100865,0.587896254,0.340057637,0.340057637,0.340057637,0.291066282,0.340057637,0.340057637,0.610951009,0.340057637
0.458213256,0.541786744,0.389048991,0.340057637,0.389048991,0.25648415,0.389048991,0.389048991,0.556195965,0.389048991
0.731988473,0.190201729,0.78962536,0.78962536,0.78962536,0.78962536,0.78962536,0.78962536,0.135446686,0.78962536
0.925072046,0.691642651,0.78962536,0.78962536,0.78962536,0.78962536,0.78962536,0.78962536,0.135446686,0.78962536
0.884726225,0.890489914,0.884726225,0.78962536,0.925072046,0.78962536,0.78962536,0.78962536,0.135446686,0.78962536
0.752988048,0.547808765,0.501992032,0.501992032,0.454183267,0.501992032,0.43625498,0.43625498,0.581673307,0.43625498
0.280876494,0.593625498,0.501992032,0.501992032,0.501992032,0.454183267,0.454183267,0.454183267,0.581673307,0.454183267
0.615537849,0.551792829,0.462151394,0.462151394,0.462151394,0.551792829,0.462151394,0.462151394,0.452191235,0.462151394
0.661354582,0.597609562,0.555776892,0.555776892,0.507968127,0.597609562,0.462151394,0.462151394,0.452191235,0.462151394
0.274900398,0.547808765,0.501992032,0.501992032,0.43625498,0.501992032,0.43625498,0.43625498,0.581673307,0.43625498
0.053784861,0.958167331,0.946215139,0.946215139,0.958167331,0.747011952,0.693227092,0.693227092,0.346613546,0.693227092
0.607569721,0.990039841,0.703187251,0.703187251,0.737051793,0.655378486,0.655378486,0.643426295,0.976095618,0.643426295
0.822709163,0.938247012,0.573705179,0.591633466,0.545816733,0.639442231,0.498007968,0.498007968,0.976095618,0.498007968
0.699203187,0.139442231,0.105577689,0.105577689,0.105577689,0.105577689,0.105577689,0.426294821,0.581673307,0.193227092
0.420318725,0.139442231,0.105577689,0.105577689,0.105577689,0.105577689,0.105577689,0.193227092,0.581673307,0.105577689
